Iteration	Results
0 	656.747209
1 	656.747209
2 	656.747209
3 	621.048985
4 	621.048985
5 	621.048985
6 	621.048985
7 	621.048985
8 	621.048985
9 	621.048985
10 	621.048985
11 	621.048985
12 	621.048985
13 	621.048985
14 	621.048985
15 	621.048985
16 	621.048985
17 	621.048985
18 	621.048985
19 	621.048985
20 	621.048985
21 	621.048985
22 	621.048985
23 	621.048985
24 	621.048985
25 	621.048985
26 	621.048985
27 	621.048985
28 	621.048985
29 	621.048985
30 	621.048985
31 	621.048985
32 	621.048985
33 	621.048985
34 	621.048985
35 	621.048985
36 	621.048985
37 	621.048985
38 	621.048985
39 	621.048985
40 	603.314177
41 	603.314177
42 	603.314177
43 	603.314177
44 	603.314177
45 	603.314177
46 	603.314177
47 	603.314177
48 	603.314177
49 	603.314177
50 	603.314177
51 	603.314177
52 	603.314177
53 	603.314177
54 	603.314177
55 	603.314177
56 	603.314177
57 	603.314177
58 	603.314177
59 	603.314177
60 	603.314177
61 	603.314177
62 	603.314177
63 	603.314177
64 	603.314177
65 	603.314177
66 	603.314177
67 	603.314177
68 	603.314177
69 	603.314177
70 	603.314177
71 	581.378422
72 	581.378422
73 	581.378422
74 	581.378422
75 	581.378422
76 	581.378422
77 	581.378422
78 	581.378422
79 	581.378422
80 	581.378422
81 	581.378422
82 	581.378422
83 	581.378422
84 	581.378422
85 	581.378422
86 	581.378422
87 	581.378422
88 	581.378422
89 	581.378422
90 	581.378422
91 	581.378422
92 	581.378422
93 	581.378422
94 	581.378422
95 	581.378422
96 	581.378422
97 	581.378422
98 	581.378422
99 	581.378422
100 	581.378422
101 	581.378422
102 	581.378422
103 	581.378422
104 	581.378422
105 	581.378422
106 	581.378422
107 	581.378422
108 	581.378422
109 	581.378422
110 	581.378422
111 	581.378422
112 	581.378422
113 	581.378422
114 	581.378422
115 	581.378422
116 	581.378422
117 	581.378422
118 	581.378422
119 	581.378422
120 	581.378422
121 	581.378422
122 	581.378422
123 	581.378422
124 	581.378422
125 	581.378422
126 	581.378422
127 	581.378422
128 	581.378422
129 	581.378422
130 	581.378422
131 	581.378422
132 	581.378422
133 	581.378422
134 	581.378422
135 	581.378422
136 	581.378422
137 	581.378422
138 	581.378422
139 	581.378422
140 	581.378422
141 	581.378422
142 	581.378422
143 	581.378422
144 	581.378422
145 	581.378422
146 	581.378422
147 	581.378422
148 	581.378422
149 	581.378422
150 	581.378422
151 	581.378422
152 	581.378422
153 	581.378422
154 	581.378422
155 	581.378422
156 	581.378422
157 	581.378422
158 	581.378422
159 	581.378422
160 	581.378422
161 	581.378422
162 	581.378422
163 	581.378422
164 	581.378422
165 	581.378422
166 	581.378422
167 	581.378422
168 	581.378422
169 	581.378422
170 	581.378422
171 	581.378422
172 	581.378422
173 	581.378422
174 	581.378422
175 	581.378422
176 	581.378422
177 	581.378422
178 	581.378422
179 	581.378422
180 	581.378422
181 	581.378422
182 	581.378422
183 	581.378422
184 	581.378422
185 	581.378422
186 	581.378422
187 	581.378422
188 	581.378422
189 	581.378422
190 	581.378422
191 	581.378422
192 	581.378422
193 	581.378422
194 	581.378422
195 	581.378422
196 	581.378422
197 	581.378422
198 	581.378422
199 	581.378422
200 	581.378422
201 	581.378422
202 	581.378422
203 	581.378422
204 	581.378422
205 	581.378422
206 	581.378422
207 	581.378422
208 	581.378422
209 	581.378422
210 	581.378422
211 	581.378422
212 	581.378422
213 	581.378422
214 	571.947383
215 	571.947383
216 	571.947383
217 	571.947383
218 	571.947383
219 	571.947383
220 	571.947383
221 	571.947383
222 	571.947383
223 	571.947383
224 	571.947383
225 	571.947383
226 	571.947383
227 	571.947383
228 	571.947383
229 	571.947383
230 	571.947383
231 	571.947383
232 	571.947383
233 	571.947383
234 	571.947383
235 	571.947383
236 	571.947383
237 	571.947383
238 	571.947383
239 	571.947383
240 	571.947383
241 	571.947383
242 	571.947383
243 	571.947383
244 	571.947383
245 	571.947383
246 	571.947383
247 	571.947383
248 	571.947383
249 	571.947383
250 	571.947383
251 	571.947383
252 	571.947383
253 	571.947383
