Iteration	Results
0 	452.442537
1 	412.921099
2 	412.921099
3 	406.678598
4 	406.678598
5 	406.678598
6 	412.921099
7 	408.434247
8 	408.434247
9 	408.434247
10 	406.678598
11 	406.678598
12 	406.678598
13 	406.678598
14 	412.921099
15 	412.921099
16 	412.921099
17 	412.921099
18 	392.902219
19 	392.902219
20 	392.902219
21 	392.902219
22 	412.921099
23 	412.921099
24 	412.921099
25 	412.921099
26 	412.921099
27 	393.613453
28 	393.613453
29 	393.613453
30 	393.613453
31 	393.613453
32 	393.613453
33 	385.389326
34 	385.389326
35 	384.678093
36 	384.678093
37 	384.678093
38 	384.678093
39 	384.678093
40 	452.442537
41 	412.921099
42 	412.921099
43 	404.453330
44 	386.961260
45 	384.678093
46 	384.678093
47 	384.678093
48 	384.678093
49 	384.678093
50 	412.921099
51 	404.453330
52 	404.453330
53 	404.453330
54 	452.442537
55 	412.921099
56 	393.613453
57 	393.613453
58 	384.678093
59 	384.678093
60 	384.678093
61 	384.678093
62 	412.921099
63 	412.921099
64 	412.921099
65 	412.921099
66 	408.010996
67 	408.010996
68 	408.010996
69 	400.039716
70 	400.039716
71 	400.039716
72 	384.678093
73 	384.678093
74 	384.678093
75 	452.442537
76 	412.921099
77 	412.921099
78 	412.921099
79 	412.921099
80 	395.185386
81 	395.185386
82 	395.185386
83 	395.185386
84 	386.961260
85 	386.961260
86 	386.961260
87 	386.961260
88 	386.961260
89 	386.961260
90 	386.961260
91 	412.921099
92 	412.921099
93 	392.902219
94 	392.902219
95 	392.902219
96 	392.902219
97 	412.921099
98 	412.921099
99 	412.921099
100 	412.921099
101 	412.921099
102 	393.613453
103 	393.613453
104 	393.613453
105 	392.902219
106 	392.902219
107 	392.902219
108 	392.902219
109 	452.442537
110 	392.902219
111 	392.902219
112 	392.902219
113 	392.902219
114 	384.678093
115 	384.678093
116 	384.678093
117 	412.921099
118 	412.921099
119 	392.902219
120 	392.902219
121 	392.902219
122 	392.902219
123 	392.902219
124 	392.902219
125 	404.696972
126 	404.696972
127 	403.798389
128 	403.798389
129 	403.798389
130 	403.774303
131 	386.961260
132 	386.961260
133 	386.961260
134 	386.961260
135 	385.389326
136 	385.389326
137 	384.678093
138 	384.678093
139 	384.678093
140 	384.678093
141 	384.678093
142 	384.678093
143 	384.678093
144 	412.921099
145 	412.921099
146 	412.921099
147 	452.442537
148 	393.613453
149 	393.613453
150 	393.613453
151 	393.613453
152 	412.921099
153 	410.139123
154 	410.139123
155 	408.434247
156 	408.434247
157 	408.434247
158 	408.434247
159 	400.210120
160 	400.210120
161 	400.210120
162 	390.398756
163 	390.398756
164 	390.398756
165 	385.389326
166 	385.389326
167 	385.389326
168 	385.389326
169 	412.921099
170 	412.921099
171 	412.921099
172 	412.921099
173 	404.696972
174 	404.696972
175 	404.696972
176 	404.030584
177 	404.030584
178 	386.961260
179 	386.961260
180 	386.961260
181 	412.921099
182 	412.921099
183 	412.921099
184 	412.921099
185 	412.921099
186 	412.921099
187 	412.921099
188 	412.921099
189 	412.921099
190 	412.921099
191 	412.921099
192 	452.442537
193 	412.921099
194 	412.921099
195 	412.921099
196 	412.921099
197 	412.921099
198 	404.453330
199 	404.453330
200 	404.453330
201 	398.454471
202 	398.454471
203 	384.678093
204 	384.678093
205 	384.678093
206 	384.678093
207 	384.678093
208 	452.442537
209 	412.921099
210 	392.902219
211 	392.902219
212 	392.902219
213 	392.902219
214 	433.087607
215 	433.087607
216 	424.863480
217 	424.863480
218 	424.863480
219 	385.389326
220 	384.678093
221 	384.678093
222 	384.678093
223 	384.678093
224 	384.678093
225 	412.921099
226 	412.921099
227 	406.678598
228 	406.678598
229 	406.678598
230 	406.678598
