Iteration	Results
0 	452.442537
1 	412.921099
2 	412.921099
3 	412.921099
4 	412.921099
5 	412.921099
6 	406.678598
7 	406.678598
8 	406.678598
9 	406.678598
10 	406.678598
11 	406.678598
12 	406.678598
13 	406.678598
14 	406.678598
15 	406.678598
16 	406.678598
17 	406.678598
18 	406.678598
19 	406.678598
20 	406.678598
21 	406.678598
22 	406.678598
23 	406.678598
24 	406.678598
25 	406.678598
26 	406.678598
27 	406.678598
28 	392.902219
29 	392.902219
30 	392.902219
31 	392.902219
32 	392.902219
33 	392.902219
34 	392.902219
35 	392.902219
36 	392.902219
37 	392.902219
38 	392.902219
39 	385.389326
40 	385.389326
41 	385.389326
42 	385.389326
43 	385.389326
44 	384.678093
45 	384.678093
46 	384.678093
47 	384.678093
48 	384.678093
49 	384.678093
50 	384.678093
51 	384.678093
52 	384.678093
53 	384.678093
54 	384.678093
55 	384.678093
56 	384.678093
57 	384.678093
58 	384.678093
59 	384.678093
60 	384.678093
61 	384.678093
62 	384.678093
63 	384.678093
64 	384.678093
65 	384.678093
66 	384.678093
67 	384.678093
68 	384.678093
69 	384.678093
70 	384.678093
71 	384.678093
72 	384.678093
73 	384.678093
74 	384.678093
75 	384.678093
76 	384.678093
77 	384.678093
78 	384.678093
79 	384.678093
80 	384.678093
81 	384.678093
82 	384.678093
83 	384.678093
84 	384.678093
85 	384.678093
86 	384.678093
87 	384.678093
88 	384.678093
89 	384.678093
90 	384.678093
91 	384.678093
92 	384.678093
93 	384.678093
94 	384.678093
95 	384.678093
96 	384.678093
97 	384.678093
98 	384.678093
99 	384.678093
100 	384.678093
101 	384.678093
102 	384.678093
103 	384.678093
104 	384.678093
105 	384.678093
106 	384.678093
107 	384.678093
108 	384.678093
109 	384.678093
110 	384.678093
111 	384.678093
112 	384.678093
113 	384.678093
114 	384.678093
115 	384.678093
116 	384.678093
117 	384.678093
118 	384.678093
119 	384.678093
120 	384.678093
121 	384.678093
122 	384.678093
123 	384.678093
124 	384.678093
125 	384.678093
126 	384.678093
127 	384.678093
128 	384.678093
129 	384.678093
130 	384.678093
131 	384.678093
132 	384.678093
133 	384.678093
134 	384.678093
135 	384.678093
136 	384.678093
137 	384.678093
138 	384.678093
139 	384.678093
140 	384.678093
141 	384.678093
142 	384.678093
143 	384.678093
144 	384.678093
145 	384.678093
146 	384.678093
147 	384.678093
148 	384.678093
149 	384.678093
150 	384.678093
151 	384.678093
152 	384.678093
153 	384.678093
154 	384.678093
155 	384.678093
156 	384.678093
157 	384.678093
158 	384.678093
159 	384.678093
160 	384.678093
161 	384.678093
162 	384.678093
163 	384.678093
164 	384.678093
165 	384.678093
166 	384.678093
167 	384.678093
168 	384.678093
169 	384.678093
170 	384.678093
171 	384.678093
172 	384.678093
173 	384.678093
174 	384.678093
175 	384.678093
176 	384.678093
177 	384.678093
178 	384.678093
179 	384.678093
180 	384.678093
181 	384.678093
182 	384.678093
183 	384.678093
184 	384.678093
185 	384.678093
186 	384.678093
187 	384.678093
188 	384.678093
189 	384.678093
190 	384.678093
191 	384.678093
192 	384.678093
193 	384.678093
194 	384.678093
195 	384.678093
196 	384.678093
197 	384.678093
198 	384.678093
199 	384.678093
200 	384.678093
201 	384.678093
202 	384.678093
203 	384.678093
204 	384.678093
205 	384.678093
206 	384.678093
207 	384.678093
208 	384.678093
209 	384.678093
210 	384.678093
211 	384.678093
212 	384.678093
213 	384.678093
214 	384.678093
215 	384.678093
216 	384.678093
217 	384.678093
218 	384.678093
219 	384.678093
220 	384.678093
221 	384.678093
222 	384.678093
223 	384.678093
224 	384.678093
225 	384.678093
226 	384.678093
227 	384.678093
228 	384.678093
229 	384.678093
230 	384.678093
